"objid","ra","dec","u","g","r","i","z","run","rerun","camcol","field","specobjid","class","redshift","plate","mjd","fiberid"
1.23765e+18,183.1741587,0.910680575,19.55236,18.0797,17.47165,17.25418,17.11187,752,301,6,265,3.63809e+17,"STAR",0.000660672,323,51615,523
1.23765e+18,222.4914543,0.548738021,18.99404,17.49792,16.92866,16.72374,16.63062,752,301,5,527,3.27539e+18,"STAR",-0.000171654,2909,54653,542
1.23765e+18,185.1427269,-0.62523356,18.7386,17.30442,16.73515,16.5131,16.38593,756,301,2,463,2.88012e+18,"STAR",-3e-05,2558,54140,263
1.23765e+18,195.0212964,67.40698988,18.37883,16.32108,15.30301,14.84614,14.49638,1412,301,4,195,5.57455e+17,"GALAXY",0.1022092,495,51988,491
1.23765e+18,173.8038342,-0.518539432,19.27036,17.98295,17.36082,16.90668,16.7362,756,301,2,387,3.17556e+17,"GALAXY",0.1178732,282,51658,191
1.23765e+18,8.737776675,14.72134995,18.07051,16.75344,16.16783,15.86571,15.75323,1035,301,3,22,3.52749e+18,"STAR",-0.00078828,3133,54789,167
1.23765e+18,133.505758,0.558980781,18.26264,16.41737,15.53242,15.12715,14.79489,1239,301,5,88,5.28131e+17,"GALAXY",0.05759648,469,51913,305
1.23765e+18,234.4661308,53.17283654,19.4799,18.91314,18.51482,18.36763,18.12741,1345,301,1,543,7.5593e+18,"QSO",0.8630155,6714,56447,36
1.23765e+18,183.2641833,-1.747482659,19.32558,18.76354,18.54223,18.23351,18.26615,1140,301,5,203,3.73958e+17,"QSO",0.611381,332,52367,579
1.23765e+18,196.5167091,0.347064043,19.53066,17.6087,16.74273,16.33952,16.04812,745,301,4,252,3.31132e+17,"GALAXY",0.0895499,294,51986,428
1.23765e+18,164.7743817,1.18205067,16.64561,15.22102,14.59491,14.23824,13.9858,756,301,6,327,5.72017e+17,"GALAXY",0.03894255,508,52366,218
1.23765e+18,162.88697,-1.002880575,17.79835,16.35954,15.67576,15.28575,14.9844,756,301,1,314,3.10816e+17,"GALAXY",0.03730522,276,51909,245
1.23765e+18,243.7624397,0.827786501,17.24598,15.93616,15.44045,15.25684,15.18487,745,301,5,568,3.89662e+17,"STAR",4.48e-05,346,51693,367
1.23765e+18,197.3935842,0.314839483,18.90059,18.10989,17.81796,17.33779,17.39724,745,301,4,258,3.32238e+17,"GALAXY",0.08317149,295,51985,355
1.23765e+18,165.5620208,-0.205747083,19.16473,18.23162,17.93842,17.80543,17.79206,756,301,3,332,4.319e+18,"STAR",0.000458733,3836,55302,192
1.23765e+18,157.5783285,1.247218754,19.22795,17.98775,17.42008,17.05435,16.85235,756,301,6,279,3.07481e+17,"GALAXY",0.05075456,273,51957,402
1.23765e+18,124.6959703,46.38737787,18.07697,16.22489,15.31988,14.88827,14.54615,1331,301,3,141,4.96562e+17,"GALAXY",0.0401362,441,51868,147
1.23765e+18,25.56484586,13.29918208,18.51425,17.06662,16.45816,16.27022,16.19221,1035,301,2,131,2.13704e+18,"STAR",-0.000167792,1898,53260,298
1.23765e+18,169.7740851,67.68105225,18.10221,16.45572,15.93231,15.75687,15.69936,1350,301,6,331,3.21791e+18,"STAR",-7.08e-05,2858,54498,337
1.23765e+18,183.9986391,-0.294081243,17.50237,16.50231,16.08183,15.91243,15.81577,752,301,3,270,3.23166e+17,"STAR",0.000764086,287,52023,120
1.23765e+18,177.3521995,-1.019342584,19.19277,18.0039,17.55692,17.2516,17.12785,756,301,1,411,3.19823e+17,"GALAXY",0.05943747,284,51943,244
1.23765e+18,226.9940548,62.30675243,19.36176,17.74612,16.95491,16.53691,16.24105,1412,301,6,290,6.88095e+17,"GALAXY",0.1074971,611,52055,620
1.23765e+18,128.5250827,53.90041582,19.30983,17.42219,16.32661,15.87827,15.50303,1350,301,5,173,5.02235e+17,"GALAXY",0.118728,446,51899,303
1.23765e+18,127.9703404,53.5356911,19.51361,18.25709,17.71515,17.51961,17.44797,1350,301,5,170,2.60766e+18,"STAR",0.000118665,2316,53757,271
1.23765e+18,239.7517977,49.81021126,18.18117,16.91111,16.33179,16.14212,15.85364,1345,301,1,574,6.9813e+17,"GALAXY",0.04368149,620,52375,262
1.23765e+18,133.6442238,53.78929365,16.45963,15.63514,15.30915,15.08962,14.90842,1345,301,4,178,5.05649e+17,"GALAXY",0.03752311,449,51900,435
1.23765e+18,219.5368072,61.25905718,18.65362,17.24907,16.60339,16.23257,15.94575,1345,301,5,468,6.83581e+17,"GALAXY",0.0491554,607,52368,580
1.23765e+18,192.4380173,0.113327402,19.38708,18.4923,18.18142,18.04972,18.01251,752,301,4,326,4.3336e+18,"STAR",0.000144482,3849,55274,40
1.23765e+18,202.9040525,0.190945047,18.4029,18.67346,19.14824,19.51975,19.6431,752,301,4,396,4.55554e+18,"STAR",0.00012675,4046,55605,534
1.23765e+18,186.8411715,-1.093001236,19.14686,17.21767,16.52522,16.28851,16.1677,752,301,1,289,2.88007e+18,"STAR",2.44e-05,2558,54140,57
1.23765e+18,173.8407618,-0.999193458,18.5322,17.18199,16.4586,16.05459,15.78115,756,301,1,387,3.17542e+17,"GALAXY",0.076873,282,51658,139
1.23765e+18,141.8498538,0.479890174,19.23623,18.83306,18.7317,18.72921,18.81169,1239,301,5,143,4.30457e+18,"STAR",0.000175766,3823,55534,940
1.23765e+18,229.6785319,0.446810468,18.71893,17.55303,16.98645,16.6849,16.47237,752,301,5,575,3.5143e+17,"GALAXY",0.05280551,312,51689,543
1.23765e+18,177.142356,68.15965871,19.34769,18.45171,18.2128,18.10501,18.08626,1350,301,6,350,5.5409e+17,"STAR",-0.000531453,492,51955,535
1.23765e+18,148.885251,1.14428105,17.2092,16.05973,15.79513,15.72221,15.73674,756,301,6,221,3.55117e+18,"STAR",0.000319817,3154,54821,292
1.23765e+18,236.5025334,0.556853317,18.14724,16.96028,16.31061,15.91915,15.69506,752,301,5,621,3.85174e+17,"GALAXY",0.1199472,342,51691,424
1.23765e+18,162.4974792,0.353258596,17.62444,15.80715,14.90921,14.4454,14.06298,756,301,4,312,3.09787e+17,"GALAXY",0.03764759,275,51910,599
1.23765e+18,246.9235959,0.374472903,19.5115,19.18155,18.81941,24.22526,16.87434,745,301,4,589,4.09977e+17,"STAR",-0.000185644,364,52000,543
1.23765e+18,240.5572612,52.31826863,17.5501,15.69371,14.8573,14.46105,14.1569,1345,301,6,564,6.98212e+17,"GALAXY",0.0473094,620,52375,559
1.23765e+18,169.5720007,-0.073191742,17.55366,16.46706,16.09744,15.96723,15.94523,756,301,3,359,3.15329e+17,"STAR",0.000124505,280,51612,280
1.23765e+18,171.2825869,-1.741056944,19.57209,18.66038,18.29485,18.11563,18.09745,1140,301,5,123,3.64011e+18,"STAR",-9.37e-05,3233,54891,259
1.23765e+18,201.6225158,65.97634498,17.22176,16.03848,15.68098,15.54807,15.52759,1412,301,2,214,2.76978e+18,"STAR",-0.000376296,2460,54616,232
1.23765e+18,222.9339678,0.432157455,18.23652,17.03079,16.52341,16.28072,16.18811,752,301,5,530,3.2754e+18,"STAR",0.000122931,2909,54653,587
1.23765e+18,258.921415,54.32067784,19.11242,17.61934,16.87255,16.44748,16.16137,1336,301,1,82,4.13286e+17,"GALAXY",0.05206455,367,51997,292
1.23765e+18,12.18167457,14.68209665,18.98681,17.85624,17.32113,17.10887,16.95141,1035,301,3,44,3.52633e+18,"STAR",-5.58e-05,3132,54746,32
1.23765e+18,163.7534463,0.705276319,18.76242,17.44982,16.81575,16.44021,16.23238,756,301,5,320,3.10906e+17,"GALAXY",0.04942285,276,51909,573
1.23765e+18,194.0667096,68.11286135,17.89192,16.75952,16.25728,16.00797,15.8454,1350,301,6,392,5.57443e+17,"GALAXY",0.006267129,495,51988,445
1.23765e+18,189.7057939,-1.831852441,18.73511,17.84587,17.65828,17.58836,17.6167,1140,301,5,246,3.26183e+18,"STAR",-0.00037132,2897,54585,339
1.23765e+18,160.1265952,1.126828522,19.40884,18.17833,17.69728,17.3719,17.25206,756,301,6,296,3.0864e+17,"GALAXY",0.08348634,274,51913,523
1.23765e+18,243.9588054,0.834842905,19.3035,17.90728,17.25062,16.8549,16.58678,745,301,5,569,3.89675e+17,"GALAXY",0.05615441,346,51693,412
1.23765e+18,163.5506739,0.684616753,18.70576,17.22287,16.52849,16.13316,15.83073,756,301,5,319,3.10889e+17,"GALAXY",0.04267079,276,51909,513
1.23765e+18,154.0169403,0.708388569,19.49387,18.33403,17.8526,17.47725,17.35613,756,301,5,255,3.05233e+17,"GALAXY",0.07935563,271,51883,416
1.23765e+18,232.4620229,57.01111349,18.43794,16.63449,15.9893,15.79679,15.72043,1345,301,6,520,6.91447e+17,"STAR",-1.56e-05,614,53437,524
1.23765e+18,187.8640024,-0.337008436,18.62285,17.9556,17.68548,17.53894,17.39356,752,301,3,296,3.26598e+17,"GALAXY",0.03147073,290,51941,318
1.23765e+18,202.8150552,66.9262812,19.14416,18.90747,18.73529,18.70175,18.28659,1412,301,4,215,5.58611e+17,"QSO",0.3885841,496,51988,600
1.23765e+18,225.1681168,-0.794919527,19.49488,18.41742,18.58294,18.7746,18.89294,752,301,2,545,3.73124e+18,"STAR",-0.000644868,3314,54970,22
1.23765e+18,129.8200808,50.68577885,18.52528,17.41732,16.9877,16.74671,16.54868,1345,301,3,153,5.01167e+17,"GALAXY",0.0448564,445,51873,516
1.23765e+18,151.654714,0.63260918,17.70245,16.22431,15.51102,15.15194,14.83453,756,301,5,239,3.03008e+17,"GALAXY",0.02122282,269,51910,511
1.23765e+18,160.0200599,0.764686114,19.54963,17.58287,16.45092,15.95997,15.5414,756,301,5,295,3.08627e+17,"GALAXY",0.1328742,274,51913,474
1.23765e+18,168.1013756,64.31102449,18.33576,16.91109,16.29373,16.04751,15.9232,1302,301,4,328,3.74369e+18,"STAR",-0.00081692,3325,54942,272
1.23765e+18,192.7105038,-1.592117679,18.42252,16.62217,15.6582,15.22642,14.85776,1231,301,6,157,3.79555e+17,"GALAXY",0.08706535,337,51997,460
1.23765e+18,208.6981259,-0.760115862,19.13621,17.95535,17.33129,16.9772,16.74717,752,301,2,435,3.38974e+17,"GALAXY",0.1425752,301,51942,284
1.23765e+18,126.9585871,48.13549476,19.01259,17.18291,16.44837,16.1853,16.0669,1331,301,3,157,3.57375e+18,"STAR",-5.14e-05,3174,54821,529
1.23765e+18,213.7342205,-0.690921225,19.30325,18.14038,17.46589,16.99733,16.75662,752,301,2,469,3.41199e+17,"GALAXY",0.1482528,303,51615,188
1.23765e+18,186.0567347,-0.886411368,19.35859,18.27584,17.81842,17.4891,17.35173,756,301,1,469,3.24261e+17,"GALAXY",0.08818088,288,52000,6
1.23765e+18,172.5296109,-0.521228031,19.56516,17.62949,16.68799,16.29173,15.91588,756,301,2,379,3.16396e+17,"GALAXY",0.07551581,281,51614,65
1.23765e+18,151.1766178,1.199523502,19.56746,17.68348,16.75961,16.28287,15.9689,756,301,6,236,5.64103e+17,"GALAXY",0.08233592,501,52235,99
1.23765e+18,128.6363875,49.56128407,18.23252,18.14109,17.77946,17.66071,17.62996,1331,301,3,169,4.98948e+17,"QSO",1.372802,443,51873,634
1.23765e+18,174.2832252,64.879674,19.37012,19.06112,18.6036,18.22749,18.17273,1302,301,4,346,8.00969e+18,"QSO",0.2089251,7114,56748,128
1.23765e+18,208.2329375,-0.696097698,19.47384,18.02314,17.21636,16.78238,16.43555,752,301,2,432,3.37775e+17,"GALAXY",0.1155662,300,51943,18
1.23765e+18,187.8762442,-0.895778648,19.52472,17.91455,16.9189,16.4262,16.0396,756,301,1,481,3.26593e+17,"GALAXY",0.1107222,290,51941,300
1.23765e+18,244.4563602,1.16177486,18.83757,17.12259,16.36792,15.90656,15.59752,745,301,6,573,3.8971e+17,"GALAXY",0.05877787,346,51693,540
1.23765e+18,148.4028637,0.755107944,19.54711,17.57291,16.61943,16.21256,15.88196,756,301,5,218,3.00756e+17,"GALAXY",0.09501842,267,51608,511
1.23765e+18,184.6541703,0.122673446,19.07731,18.64518,18.49678,18.52677,18.45765,752,301,4,274,3.24375e+17,"QSO",0.9251733,288,52000,421
1.23765e+18,183.2147601,-1.463172829,19.36859,18.29613,17.86389,17.71668,17.67462,1231,301,6,93,3.72226e+18,"STAR",0.000422894,3306,54922,123
1.23765e+18,162.3153197,-0.052420434,19.56375,17.80391,16.90723,16.48856,16.18376,756,301,3,310,3.09654e+17,"GALAXY",0.07557589,275,51910,116
1.23765e+18,202.0498978,0.098527685,18.29785,17.03822,16.44737,16.12423,15.9331,752,301,4,391,3.35617e+17,"GALAXY",0.03627707,298,51955,359
1.23765e+18,146.5244738,0.830185635,18.51254,17.12438,16.53009,16.29596,16.16014,756,301,5,205,3.00704e+17,"STAR",-3.74e-05,267,51608,322
1.23765e+18,117.0306411,41.4117774,18.69714,17.80713,17.52386,17.39365,17.32628,1350,301,3,75,4.1345e+18,"STAR",-0.000880287,3672,55484,712
1.23765e+18,185.7156168,1.033180384,19.00756,17.89609,17.43835,17.16706,16.97606,752,301,6,282,3.25477e+17,"GALAXY",0.07430882,289,51990,336
1.23765e+18,256.0872949,59.99686896,19.42041,17.70802,16.78915,16.34405,15.97427,1336,301,2,43,3.97546e+17,"GALAXY",0.09561118,353,51703,376
1.23765e+18,152.4245732,1.237479666,19.55563,18.06957,17.68048,17.41951,17.28463,756,301,6,244,5.65261e+17,"GALAXY",0.0450184,502,51957,214
1.23765e+18,248.8204356,0.509345376,18.26517,17.08865,16.665,16.42711,16.28,752,301,5,703,3.91947e+17,"GALAXY",0.03196613,348,51671,487
1.23765e+18,127.4777219,48.87409321,17.96552,17.89447,18.26001,18.5447,18.83521,1345,301,3,137,4.16153e+18,"STAR",-9.53e-05,3696,55277,738
1.23765e+18,150.1883859,0.280159372,17.17106,15.84322,15.35562,15.18469,15.12566,756,301,4,229,3.2112e+18,"STAR",9.52e-06,2852,54468,486
1.23765e+18,116.9322545,41.50390043,19.34031,18.10233,17.4829,17.15915,16.9327,1350,301,3,75,4.88674e+17,"GALAXY",0.07962422,434,51885,123
1.23765e+18,174.1644883,-0.956707465,19.57255,18.59834,18.47911,18.45792,18.60459,745,301,1,103,3.1753e+17,"STAR",0.001135097,282,51658,94
1.23765e+18,222.4890999,0.558296016,16.9911,15.17415,14.37363,13.99589,13.71774,752,301,5,527,3.46931e+17,"GALAXY",0.03983419,308,51662,560
1.23765e+18,173.7654008,-0.535072418,18.43336,17.52066,17.24332,17.15038,17.1537,756,301,2,387,3.22238e+18,"STAR",0.000235061,2862,54471,189
1.23765e+18,257.8120961,56.57416155,19.4104,17.64471,16.74869,16.29773,15.93593,1336,301,1,66,3.99762e+17,"GALAXY",0.06202587,355,51788,247
1.23765e+18,152.8863603,1.131973022,19.20716,18.04355,17.51539,17.29384,17.18084,756,301,6,247,3.04152e+17,"STAR",0.000208862,270,51909,580
1.23765e+18,131.145721,0.9216028,18.01667,17.71583,17.63513,17.56084,17.53474,1239,301,6,72,5.25914e+17,"QSO",0.4392891,467,51901,433
1.23765e+18,183.1337305,-0.877529329,19.44686,17.3623,16.48337,16.17108,15.99662,756,301,1,450,3.72226e+18,"STAR",0.000153038,3306,54922,133
1.23765e+18,123.0636972,44.54085577,16.59983,15.27566,15.15763,15.17283,15.20696,1345,301,2,102,4.94298e+17,"STAR",0.000464367,439,51877,101
1.23765e+18,27.6183344,13.14956714,18.53755,18.09614,17.8128,17.4552,17.51681,1035,301,2,144,4.83014e+17,"GALAXY",0.1466694,429,51820,11
1.23765e+18,227.5039224,-0.715794906,18.94738,17.03138,15.97062,15.41849,14.98746,752,301,2,561,3.50213e+17,"GALAXY",0.07098074,311,51665,212
1.23765e+18,194.1131561,-1.721930384,19.06408,17.82213,17.22701,16.85972,16.64504,1140,301,5,275,3.8066e+17,"GALAXY",0.1201489,338,51694,385
1.23765e+18,260.8111888,25.90118965,15.61899,14.27158,14.27142,14.35111,14.41837,1345,301,1,768,2.45678e+18,"STAR",7.09e-05,2182,53905,244
1.23765e+18,170.6338247,-0.84115882,17.20559,15.44111,14.5656,14.11913,13.74202,756,301,1,366,3.15276e+17,"GALAXY",0.02444746,280,51612,88
1.23765e+18,147.7792915,0.22629139,18.9379,18.07063,17.7687,17.47927,17.428,756,301,4,213,3.00736e+17,"GALAXY",0.07421976,267,51608,438
1.23765e+18,221.4606292,-0.672574932,16.81189,15.50709,14.94685,14.73445,14.63479,752,301,2,520,3.27531e+18,"STAR",-0.000262336,2909,54653,251
1.23765e+18,187.9265256,0.202503974,19.41831,17.88182,17.29789,17.08715,16.98668,752,301,4,296,3.25957e+18,"STAR",9.59e-05,2895,54567,341
1.23765e+18,28.56335236,12.9796966,19.09741,17.32385,16.39146,15.87602,15.49174,1035,301,2,151,4.84173e+17,"GALAXY",0.0871147,430,51877,131
1.23765e+18,154.7493615,-0.18252079,19.19234,17.33534,16.35525,15.85395,15.51435,756,301,3,260,3.05162e+17,"GALAXY",0.09228784,271,51883,155
1.23765e+18,169.0897625,-0.074192483,19.17301,17.02677,15.97429,15.49931,15.06749,756,301,3,356,3.14169e+17,"GALAXY",0.09957927,279,51984,157
1.23765e+18,231.0564965,60.64406049,19.33071,19.15714,19.17783,18.83242,18.7983,1412,301,6,307,6.90342e+17,"QSO",1.776745,613,52345,603
1.23765e+18,241.4048103,-0.777000271,16.31268,15.60035,15.83786,16.03955,16.18371,752,301,2,654,3.87313e+17,"STAR",-0.000788093,344,51693,13
1.23765e+18,167.3338867,-0.853616857,17.25497,15.45822,14.62087,14.21141,13.86431,756,301,1,344,3.13033e+17,"GALAXY",0.04655705,278,51900,121
1.23765e+18,206.3292871,66.32122643,19.33568,19.17689,18.9427,18.92801,18.75716,1412,301,4,225,5.5971e+17,"QSO",0.9977673,497,51989,500
1.23765e+18,156.9317086,1.193953936,18.17796,17.04094,16.61012,16.34855,16.19328,756,301,6,275,3.06412e+17,"GALAXY",0.02171454,272,51941,608
1.23765e+18,184.3530081,-1.736801157,19.43036,18.26814,17.70304,17.36375,17.18789,1140,301,5,210,3.75037e+17,"GALAXY",0.08807878,333,52313,410
1.23765e+18,146.8068151,0.66561136,17.34683,15.63673,14.6184,14.12285,13.67896,756,301,5,207,2.99639e+17,"GALAXY",0.0200758,266,51630,543
1.23765e+18,183.3565003,-1.448852424,18.87577,17.6922,17.11933,16.7408,16.63383,1231,301,6,94,3.73954e+17,"GALAXY",0.1277814,332,52367,563
1.23765e+18,151.6535391,0.759745966,19.44344,18.14164,17.62316,17.30397,17.22351,756,301,5,239,3.03033e+17,"GALAXY",0.09747344,269,51910,605
1.23765e+18,197.2332407,0.257804352,18.25614,17.10013,16.65093,16.44066,16.4368,745,301,4,257,8.39488e+18,"STAR",7.16e-05,7456,56727,617
1.23765e+18,187.1449826,0.939344932,19.5725,18.4306,18.45971,18.52749,18.60521,752,301,6,291,3.25532e+17,"STAR",0.000584923,289,51990,534
1.23765e+18,188.1115672,-0.899130549,17.22348,15.61154,15.03329,14.82865,14.72664,756,301,1,483,3.25956e+18,"STAR",8.39e-05,2895,54567,283
1.23765e+18,183.9913156,-3.342026268,18.47735,16.48654,15.5889,15.16429,14.84412,1140,301,1,208,3.75005e+17,"GALAXY",0.06208347,333,52313,293
1.23765e+18,187.6018512,0.093171088,18.44487,16.62873,15.70877,15.29358,14.97091,752,301,4,294,3.25535e+17,"GALAXY",0.07950422,289,51990,545
1.23765e+18,161.1227944,-0.025158098,19.26911,18.17957,17.7335,17.40679,17.19194,756,301,3,303,3.08507e+17,"GALAXY",0.09374776,274,51913,39
1.23765e+18,200.198688,66.28652249,18.58107,16.50179,15.57292,15.13184,14.78128,1412,301,2,209,5.58491e+17,"GALAXY",0.06481051,496,51988,162
1.23765e+18,245.0866342,1.228436228,16.85358,15.63081,15.09907,14.80041,14.57816,745,301,6,577,3.89727e+17,"GALAXY",0.03223962,346,51693,603
1.23765e+18,131.087729,51.40591134,18.5084,16.51681,15.54049,15.0971,14.77027,1345,301,3,160,5.01192e+17,"GALAXY",0.09681616,445,51873,606
1.23765e+18,188.8901409,-0.21450892,17.12185,16.01172,15.63028,15.49481,15.45712,752,301,3,303,3.25953e+18,"STAR",6.71e-05,2895,54567,171
1.23765e+18,152.2767936,61.74490144,19.25411,17.30326,16.32574,15.89148,15.51561,1345,301,5,263,8.68187e+17,"GALAXY",0.09260047,771,52370,431
1.23765e+18,178.992168,-0.067440898,19.20849,17.7398,16.88828,16.4864,16.17032,756,301,3,422,3.20979e+17,"GALAXY",0.1072191,285,51930,355
1.23765e+18,233.6144928,-0.797261413,19.36386,18.29599,17.86201,17.69522,17.60649,752,301,2,602,4.5149e+18,"STAR",-0.000329409,4010,55350,150
1.23765e+18,238.3129032,53.6151972,19.22584,17.56534,16.73418,16.28176,15.94618,1345,301,6,552,6.9597e+17,"GALAXY",0.100664,618,52049,595
1.23765e+18,159.979003,0.688743463,18.90791,16.96309,16.05193,15.61976,15.27147,756,301,5,295,3.08629e+17,"GALAXY",0.05083571,274,51913,480
1.23765e+18,186.7275807,-0.877602344,15.07992,13.43728,12.64029,12.24208,11.96946,756,301,1,474,3.25442e+17,"GALAXY",0.007084649,289,51990,208
1.23765e+18,162.6783185,1.068675771,18.60782,17.61051,17.21316,17.05382,16.99885,756,301,6,313,2.88134e+18,"STAR",0.000484451,2559,54208,575
1.23765e+18,195.6719701,0.10173661,19.59202,18.54725,18.17758,17.89173,17.79495,752,301,4,348,3.30064e+17,"GALAXY",0.06883805,293,51689,638
1.23765e+18,149.5554476,1.17146608,17.84916,16.56059,16.04874,15.84963,15.76703,756,301,6,225,3.55115e+18,"STAR",-0.000114046,3154,54821,210
1.23765e+18,222.523206,-0.751504308,19.51659,17.36695,16.49344,16.20822,16.0688,752,301,2,527,3.30342e+18,"STAR",-0.000208668,2934,54626,93
1.23765e+18,158.1985492,-0.204757064,17.78733,16.24017,15.49375,15.07718,14.73213,756,301,3,283,3.07419e+17,"GALAXY",0.03397743,273,51957,175
1.23765e+18,113.6742455,37.05929203,19.36069,17.84659,17.16759,16.87554,16.71616,1350,301,3,41,2.31164e+18,"STAR",0.000216464,2053,53446,627
1.23765e+18,10.67852638,14.52498025,17.07912,15.44146,14.77458,14.55829,14.44575,1035,301,3,34,2.13476e+18,"STAR",1.37e-06,1896,53242,200
1.23765e+18,130.9203501,51.96748924,19.40657,19.57973,19.24587,19.18324,19.38306,1345,301,4,162,5.03349e+17,"QSO",1.174704,447,51877,262
1.23765e+18,129.715727,50.07230807,19.49536,18.40123,17.45934,17.06776,16.69713,1331,301,3,174,5.01048e+17,"GALAXY",0.1307165,445,51873,81
