"","year_harvest","yield_anomaly","NUMD","IRR","ETP_1","ETP_2","ETP_3","ETP_4","ETP_5","ETP_6","ETP_7","ETP_8","ETP_9","PR_1","PR_2","PR_3","PR_4","PR_5","PR_6","PR_7","PR_8","PR_9","RV_1","RV_2","RV_3","RV_4","RV_5","RV_6","RV_7","RV_8","RV_9","SeqPR_1","SeqPR_2","SeqPR_3","SeqPR_4","SeqPR_5","SeqPR_6","SeqPR_7","SeqPR_8","SeqPR_9","Tn_1","Tn_2","Tn_3","Tn_4","Tn_5","Tn_6","Tn_7","Tn_8","Tn_9","Tx_1","Tx_2","Tx_3","Tx_4","Tx_5","Tx_6","Tx_7","Tx_8","Tx_9"
"1029",33,-0.589156052725147,19,1,0.339974,0.43772,1.13505,1.89429,2.83001,3.10066,3.62075,3.80449,2.05941,2.78549,2.72491,2.23446,1.95403,1.27686,2.83814,2.4849,1.44405,3.71197,58.3156,75.1125,109.648,173.883,217.016,223.684,233.517,245.295,158.488,0.425875,0.446049,0.548387,0.468085,0.390872,0.574113,0.381263,0.202814,0.469504,0.20648,-1.86588,5.05161,3.0793,6.4636,10.692,14.1358,14.7562,11.93,5.74784,5.81295,12.296,11.7086,14.6957,18.2039,23.5431,26.3857,21.927
"526",30,1.41854874566502,10,3,0.59108,1.18005,1.85996,1.87086,2.45907,3.60648,4.93479,3.91067,2.78568,4.70251,1.99327,3.6166,4.85313,2.23054,2.7297,0.444584,0.88376,1.32175,48.1893,109.977,146.045,143.623,180.412,229.504,288.139,231.024,185.343,0.55892,0.394089,0.460829,0.527551,0.541146,0.497959,0.076366,0.217907,0.256803,5.60823,2.7033,4.5385,8.36629,11.5484,14.1864,16.2447,16.9373,12.7914,10.4222,9.15277,10.9706,13.7534,17.6742,21.5994,25.2442,25.4167,22.1139
"1146",48,0.24755260847118,21,1,0.289484,0.456073,1.11147,2.06917,2.65194,4.58796,4.65244,2.82211,2.08883,1.55022,2.63154,5.18309,1.89155,3.75479,1.51671,1.4984,4.17726,1.42009,52.4426,69.0484,116.343,184.464,201.97,294.808,270.335,197.728,151.695,0.370493,0.420431,0.639706,0.403676,0.66888,0.397304,0.267552,0.74407,0.399265,-2.12016,-1.19716,1.3788,4.64671,9.55741,13.1986,18.4857,12.314,13.2646,2.90633,3.21639,7.99426,13.3872,17.2123,23.1623,29.0996,19.6398,22.6505
"3013",10,1.64336374103275,56,5,0.372391,0.642838,1.52454,2.10233,2.49942,3.08964,3.43601,2.36171,1.53632,3.13615,2.30416,1.36882,1.66204,2.03299,1.52435,2.12178,2.42993,2.24278,38.7361,67.0378,114.331,158.119,177.273,195.696,215.659,154.554,111.079,0.585705,0.548005,0.378242,0.366993,0.4105,0.366667,0.359583,0.480708,0.542484,1.05474,1.43671,3.39876,5.27224,8.04423,11.9214,12.9192,13.3177,11.0953,5.43079,6.61584,10.1868,14.456,15.2632,19.9732,21.9546,21.0206,18.9297
"1428",52,-0.200457336089201,26,1,0.146786,0.418108,1.03866,2.46869,2.13965,3.16392,4.0823,2.38025,1.75409,2.29225,3.70274,2.37156,1.56691,3.99522,3.16474,2.44951,7.4708,2.64924,47.553,65.0551,125.103,215.749,171.365,224.787,261.943,178.08,157.369,0.495713,0.744575,0.406288,0.248523,0.739894,0.635443,0.503879,0.60637,0.526582,-5.30495,-2.27517,-0.585555,3.86126,7.23271,11.4982,14.1012,11.6746,7.689,-0.111036,3.26369,7.62189,14.3563,13.2219,19.7583,23.935,19.707,17.2102
"1073",20,-0.629357743382139,20,2,0.582767,0.704392,1.3551,1.26852,2.52084,3.92913,4.73087,3.7814,2.38309,6.14666,6.09636,3.9715,6.1616,2.97881,1.34077,0.146104,0.212031,0.912375,64.8932,87.1735,135.877,138.558,216.064,285.338,318.478,273.568,198.964,0.684262,0.535714,0.549853,0.688889,0.511241,0.281313,0.0698925,0.0786901,0.175758,3.416,4.50525,5.66764,6.28174,9.74431,13.9024,16.0697,16.5835,14.5418,8.07996,9.29547,10.95,10.771,14.237,19.2754,21.3491,22.3812,20.5642
"1345",26,-0.127549373994712,25,3,0.313697,0.612513,1.24635,3.03902,2.02099,3.54465,4.85066,3.05571,1.95024,5.66343,2.60704,1.83951,0.395241,4.03952,1.92012,0.714001,3.58633,3.78975,43.9212,88.157,128.403,235.613,157.468,241.815,284.42,212.141,151.809,0.786962,0.385057,0.371192,0.0849537,0.672491,0.418287,0.0864695,0.258289,0.437963,3.07694,1.45923,2.68793,6.98017,8.01383,13.6357,15.4856,14.4208,10.9867,7.06984,7.33725,10.1748,17.3628,14.1239,21.541,26.1716,23.5809,19.0016
"3448",45,-1.86975674359269,64,1,0.257318,0.647956,1.54616,2.42373,2.62436,3.79704,3.77821,3.8738,2.14062,2.89462,0.775766,0.944547,1.4052,1.98874,1.24459,2.06654,1.15908,1.23725,39.5384,92.1458,147.811,186.514,190.089,242.661,229.89,227.178,162.398,0.599689,0.200086,0.221531,0.273896,0.544112,0.42008,0.411193,0.21609,0.240964,-2.06029,-3.56176,2.28753,4.50362,10.0623,15.474,15.3101,16.7731,9.23308,2.61427,4.1159,13.7674,15.0671,18.3522,25.9264,25.0169,29.5408,21.5124
"644",34,0.241611398549979,12,4,0.520422,0.680481,1.22553,2.2311,3.55221,3.23269,3.22478,2.9737,1.94074,1.22958,1.67036,2.94066,1.73095,1.57438,3.05219,2.60221,2.62101,1.37237,52.0016,71.5303,107.698,172.625,226.637,213.465,203.998,186.131,143.901,0.137204,0.390345,0.507527,0.461333,0.377634,0.582667,0.409462,0.506237,0.489778,-1.45121,0.208787,2.40881,4.8862,10.931,13.2182,15.1701,15.4107,9.984,2.94589,6.33292,10.4998,13.6105,20.2094,21.022,23.8022,25.5734,19.3948
"3104",44,0.285378133994711,57,2,0.546124,0.713282,1.70843,2.22985,2.77584,3.71555,3.85446,2.69714,2.25574,0.908223,2.87003,1.10328,1.67577,4.16176,3.01066,1.7915,2.87798,1.76664,62.7012,79.2421,143.03,177.622,198.455,233.599,240.639,183.244,173.446,0.279706,0.618445,0.363414,0.341772,0.58922,0.394515,0.458146,0.565945,0.435865,2.20478,4.15598,5.71032,6.72233,8.95673,14.5932,14.4582,14.5434,10.3506,9.69301,10.4534,14.8265,16.3351,18.3669,23.8536,24.1685,23.3234,21.8865
"3901",55,-0.257045957200575,72,2,0.358532,0.590837,0.862587,2.16059,2.16344,2.85903,3.64092,2.79363,1.9421,1.76303,1.84938,1.5945,1.00716,2.18742,1.70067,2.11869,1.213,1.85139,30.006,55.3679,80.6476,158.502,152.508,179.709,214.802,166.316,123.158,0.532568,0.546703,0.397022,0.37468,0.638027,0.428846,0.311104,0.33871,0.519551,0.6228,0.209699,0.663211,4.60965,7.71874,11.3726,14.6927,13.9874,10.8825,4.19229,3.70483,5.63546,11.6885,13.3029,17.8344,22.9521,21.8118,18.2687
"3306",7,0.340674918039808,62,2,0.3318,0.518935,1.25266,1.47732,1.93418,2.90747,2.13278,1.95824,1.24179,3.49471,0.379084,2.3248,2.41726,1.58517,1.99224,2.14653,2.39023,4.01599,23.3168,67.9179,100.655,114.888,139.572,185.56,131.356,135.32,92.9167,0.738685,0.237542,0.530633,0.629716,0.411853,0.482946,0.453113,0.522131,0.65814,1.067,-2.7422,2.10984,4.19791,8.22669,11.6792,11.8687,11.789,8.74138,4.86502,3.03242,9.48256,11.6461,15.9132,20.0924,18.6289,20.4999,16.7093
"4522",2,0.441346589486577,84,3,0.325654,0.496674,0.963773,2.21429,3.12057,3.62749,3.04073,2.75338,1.71237,2.41451,1.10415,3.92127,0.850859,1.53537,1.88041,2.99325,2.75912,3.23827,57.7028,80.4246,105.969,188.803,231.528,234.603,198.874,192.021,145.672,0.457924,0.222639,0.519635,0.248188,0.284011,0.264855,0.318724,0.491234,0.503986,0.701013,2.60359,5.98907,5.49865,10.7087,14.7058,14.1176,14.157,10.8306,5.88094,9.74802,11.2495,13.0585,20.2846,22.7832,21.5547,21.347,18.8987
"2569",22,0.285667237631698,48,2,0.384725,0.68569,1.08821,2.11798,2.86462,2.8627,3.21615,3.08255,2.2592,2.60041,2.14069,3.1894,0.523761,1.76344,2.24032,2.8408,1.15802,1.12622,42.4187,62.7753,98.2253,166.515,201.746,183.707,206.518,190.024,155.829,0.453743,0.475276,0.541083,0.28805,0.447657,0.646541,0.397748,0.318016,0.245283,0.317258,3.79269,2.96231,4.52878,7.76942,11.6063,12.7742,14.5786,12.0075,4.34448,8.94758,9.2808,12.3726,15.9149,18.3875,20.4449,23.2537,21.97
"987",48,0.707152372566442,18,2,0.333387,0.585869,1.39065,2.58621,2.7624,4.37479,4.42452,3.03795,2.17611,1.42899,2.36136,4.0626,1.35767,2.25116,1.17463,1.31019,2.51251,3.36889,48.5558,72.8464,126.639,208.941,196.782,273.358,251.632,196.767,146.01,0.407953,0.427956,0.622914,0.307184,0.504449,0.267816,0.28198,0.510289,0.441092,0.0943193,0.227473,2.89567,5.47986,10.0075,14.0575,18.7891,13.0872,13.8825,4.7066,4.80571,10.16,14.9057,18.0498,24.338,29.7462,21.0761,23.4939
"2259",57,-2.22966570026431,41,1,0.260292,0.465956,1.01987,2.35222,3.16687,4.15382,5.21011,3.1012,1.68122,5.14492,2.44771,4.38995,3.52371,7.44736,2.99138,2.43879,3.87705,5.29461,46.4695,95.0494,131.211,218.123,245.085,284.373,317.89,215.942,159.482,0.618768,0.357143,0.398408,0.489177,0.539589,0.488745,0.247172,0.431085,0.489177,-2.8878,-4.23612,-0.0675156,3.31304,7.38141,11.7564,15.3009,13.074,7.02882,2.04431,1.13562,6.96092,11.1783,14.7183,19.8108,24.3988,20.7011,14.3075
"3893",47,-0.175253842448098,72,2,0.68567,0.773794,1.27862,2.00096,2.98062,3.89856,3.37204,3.24632,2.17442,1.80454,2.63081,1.25177,2.46497,2.2616,1.30537,4.71272,2.72336,1.56726,41.8903,70.6357,98.7857,145.533,199.529,237.191,192.688,192.623,134.43,0.690447,0.579327,0.538151,0.546474,0.547457,0.336538,0.638958,0.458747,0.514103,3.7473,0.866488,3.53247,6.11605,8.09159,12.0758,14.0764,12.5538,12.1197,7.61447,4.65602,9.29812,13.1913,15.6663,20.6284,20.5033,20.5161,20.207
"2148",2,0.201617141819931,40,1,0.233109,0.346216,0.838944,1.56191,2.70751,3.13004,2.03672,1.87608,1.12639,2.7895,3.78757,2.11533,1.11227,2.04745,3.73973,3.12786,6.09134,4.65055,38.1745,50.6697,101.249,144.004,209.176,221.744,156.562,146.556,108.816,0.470889,0.67746,0.36074,0.337398,0.420928,0.572764,0.63454,0.739969,0.502846,-1.74174,0.700108,3.14062,3.61207,9.28734,12.7433,11.4882,12.9348,8.84715,3.56325,6.31003,11.0274,13.2171,19.3391,21.3259,19.359,20.4892,16.9542
"3661",33,-0.535914647942596,68,2,0.449766,0.511404,1.26849,2.14292,2.97503,2.88915,3.68923,3.79496,2.03765,2.04277,1.92517,1.37343,1.73807,0.975159,2.5612,1.50618,0.887341,3.19755,48.2734,72.6983,114.046,190.282,231.799,204.936,232.136,243.672,149.171,0.347905,0.386515,0.552306,0.37134,0.332831,0.619003,0.20199,0.224299,0.437695,0.486093,-3.21353,5.06205,2.65498,5.91159,10.6311,14.3512,14.2252,11.4855,4.92589,4.25711,12.9856,13.0961,15.4395,18.4266,24.8555,27.0791,22.5196
"2154",9,-0.117534584104098,40,1,0.175043,0.596581,0.875685,1.87237,2.11185,2.95375,3.71881,2.14591,1.0213,2.27383,2.33718,2.31041,1.23921,4.58898,1.35326,1.31602,2.32312,4.92155,37.67,70.6274,92.6447,166.379,169.889,218.815,252.569,168.735,106.329,0.521243,0.442073,0.492132,0.342683,0.591267,0.267073,0.243116,0.38513,0.644715,-2.10704,0.575953,2.61355,2.4762,8.10778,10.8147,15.02,12.2551,9.8634,3.0774,7.74053,10.4504,13.1772,17.2191,20.0967,25.1176,22.4413,18.6051
"919",37,0.630486948307087,17,4,0.833991,1.03984,1.97132,3.17305,3.72874,4.6181,4.82737,4.30156,2.34188,4.45982,3.93345,2.32092,1.25308,1.53601,0.331057,1.282,0.415499,3.30421,51.8531,71.2421,143.867,205.101,232.92,270.576,261.845,236.763,140.172,0.622874,0.721753,0.469501,0.376667,0.335777,0.185152,0.255425,0.172727,0.565758,3.47358,6.30763,4.32387,6.97291,10.7657,13.3841,17.1541,15.928,10.9819,9.29095,11.8058,12.4021,15.5624,19.9938,22.564,27.2589,27.0661,19.4544
"1706",2,0.544000751546499,32,4,0.833212,0.742148,1.24351,3.22221,3.96388,4.42921,3.9444,3.35993,2.18097,4.05144,3.11372,8.80476,0.506376,0.414695,1.57377,1.5504,3.11187,3.933,60.7621,75.1585,93.8722,200.576,238.896,243.73,216.483,202.976,152.47,0.339739,0.225972,0.551476,0.020922,0.170213,0.38156,0.25429,0.35827,0.406738,1.77881,3.20648,6.05119,7.35042,12.5148,16.2362,16.2744,15.307,11.8196,7.27362,10.6702,12.3646,16.0646,22.0947,24.5388,24.4597,24.0138,21.2254
"3956",53,-0.237461666625371,73,2,0.330275,0.643414,1.33018,2.96422,3.43736,3.23715,3.25887,3.31109,2.21213,0.697804,1.59673,2.02271,0.534501,2.16273,2.22723,4.29356,2.72035,1.72465,62.2454,86.7586,141.046,233.978,246.744,222.055,220.713,220.003,170.633,0.259376,0.488386,0.360084,0.234417,0.308943,0.506504,0.539995,0.457383,0.328455,-1.5248,-0.195266,1.67686,5.96665,8.94256,10.804,11.1896,13.3077,10.6726,4.32889,7.7038,10.6203,17.2902,19.5978,19.2862,19.2025,23.477,21.3824
"1299",37,1.02682096230429,24,3,0.578235,0.835242,1.59197,2.61433,3.25885,4.40119,4.38758,3.82612,1.99146,5.2571,4.59756,3.20547,1.0388,1.3934,0.304387,1.69503,1.15946,3.33419,49.3951,67.4574,128.819,184.046,217.168,261.197,242.785,217.924,129.913,0.555444,0.859747,0.456317,0.329861,0.277554,0.198958,0.221102,0.210013,0.493056,2.58722,5.38119,3.00105,6.08338,9.57987,12.5857,16.6625,15.2757,10.0345,8.57121,11.0345,11.3078,14.2484,19.2556,22.2606,26.9844,26.9359,18.7395
"3201",8,0.313599591420466,60,3,0.469893,0.85918,1.50297,1.97308,3.25267,3.60929,3.27304,2.95805,2.25743,2.34647,3.45453,0.576995,3.15098,1.48051,2.08367,1.48708,1.69452,1.33136,44.8004,59.1613,136.449,133.103,222.627,227.315,208.904,199.429,168.218,0.503722,0.716117,0.220568,0.552422,0.341605,0.50114,0.452164,0.291425,0.224786,1.97872,6.91107,3.11455,7.63954,8.81931,12.8766,12.8899,12.5465,12.1063,6.47165,11.5928,10.6951,14.5323,16.9684,20.9429,20.7433,21.4886,21.7927
"2980",34,0.551733944569205,55,2,0.639908,0.898724,1.44968,2.45664,4.0994,4.06765,3.64775,2.67447,1.96432,0.344232,1.99934,1.51375,1.74946,1.28509,1.8086,0.839199,3.11928,1.70884,56.9149,94.7994,104.378,164.621,252.457,238.884,199.272,142.284,109.554,0.144863,0.209132,0.282557,0.584877,0.307945,0.315741,0.298686,0.486858,0.391049,1.07541,1.54605,4.72332,5.77614,10.6551,12.6526,14.0945,14.6105,10.7816,6.03346,9.65376,11.7731,13.6522,20.9342,21.7877,23.5904,23.1553,19.2542
"2573",26,-0.881948629609042,48,2,0.415448,0.626451,1.24103,2.79373,1.76325,3.58704,4.61866,2.9759,1.56178,3.60488,1.48383,1.1268,0.503406,3.84474,1.80695,0.813639,2.69133,3.41417,34.6628,76.9689,135.404,225.465,144.745,246.456,270.997,197.41,112.429,0.524346,0.391347,0.286975,0.0201258,0.590079,0.369182,0.0334754,0.287279,0.612893,2.3353,0.812417,1.43744,3.89334,7.24373,12.0831,14.0231,13.8232,10.6887,6.6221,6.24161,9.54877,15.3882,13.3057,20.3364,24.3611,22.8624,17.8099
"3335",36,0.0157763332331466,62,2,0.365994,0.54403,1.3274,2.08628,2.91531,3.95835,4.30244,3.04648,1.65962,2.78924,1.97599,2.11071,2.39353,2.09965,1.41684,1.5026,1.90052,3.03187,33.5364,62.1587,112.391,172.165,212.88,259.035,256.897,196.625,121.285,0.654164,0.446567,0.612153,0.515504,0.458115,0.283979,0.295824,0.393848,0.603101,2.70037,0.618647,4.45481,4.19352,9.13868,11.4437,16.0406,13.9874,10.205,6.28663,5.91339,11.6939,12.1511,17.3113,21.2136,27.325,23.5474,17.4145
"2852",20,-0.198608501429647,53,4,0.39689,0.561145,1.18049,1.84502,2.56979,2.72403,3.1165,3.15352,2.37921,2.8815,3.4164,3.14268,2.30314,1.84791,1.57528,1.83217,0.669167,0.630904,31.4043,37.0381,88.775,136.705,171.715,174.091,185.222,199.422,157.151,0.588868,0.595238,0.574004,0.546732,0.372549,0.417974,0.342505,0.197343,0.280719,0.92506,1.83023,3.52116,3.47624,8.60887,10.7029,12.2886,10.5395,8.01687,5.16616,6.65393,10.7857,11.5928,16.7734,19.0012,21.7957,21.6641,20.8332
"1972",42,0.55992231031937,36,3,0.608057,0.98832,1.44321,1.85248,3.3917,4.61549,4.63618,3.83399,2.50673,3.21853,0.309448,2.13249,3.63244,0.737579,1.2894,0.387994,0.684034,1.7923,75.9605,116.201,145.263,161.219,238.686,297.922,280.148,243.419,180.848,0.333333,0.15908,0.36086,0.436444,0.212043,0.212889,0.105376,0.167312,0.182667,2.55853,3.8343,4.95626,7.44654,13.1303,15.5726,16.7154,18.3685,14.8875,9.00263,11.7228,12.7697,14.5218,20.5879,23.698,25.1517,27.0323,23.3808
"158",44,0.220242288132987,3,2,0.479804,0.816784,1.50542,2.37178,2.6705,3.93881,3.81084,2.73188,2.00737,0.731313,1.9552,0.608423,0.495356,2.35645,2.74168,2.47351,3.80005,2.05284,62.2401,80.2813,145.678,194.439,203.968,254.305,244.328,186.217,160.002,0.278904,0.639381,0.161576,0.177581,0.637739,0.321829,0.490151,0.598344,0.407375,0.985058,4.15286,3.62462,4.45415,8.43533,14.1261,13.8729,14.1426,9.50954,7.81833,10.2641,13.3929,15.4381,17.8871,23.885,23.0788,22.6473,18.9691
"3400",44,0.876268439802253,63,1,0.377533,0.698627,1.23024,2.30735,2.76141,3.44034,3.62753,2.46112,2.17494,1.74445,3.42487,2.21677,0.701912,2.7045,1.42436,1.74176,2.44773,2.79988,38.1474,58.3471,112.135,168.826,192.713,220.896,219.093,161.026,158.228,0.604839,0.73852,0.483103,0.326587,0.544163,0.368651,0.421659,0.495776,0.324603,4.58725,4.88634,4.25965,5.59864,9.10854,12.2858,13.0269,13.5818,10.1096,8.51121,10.2964,12.3509,14.7697,16.5952,20.5538,21.6625,21.8034,20.1366
"633",23,-0.020044917262517,12,4,0.381748,0.501025,1.04634,1.99028,2.04631,2.76601,2.55412,2.44417,1.47959,2.61477,1.40361,1.92941,0.960845,2.0677,3.4087,2.3815,1.80039,2.60478,36.2211,77.0684,78.1778,165.652,157.199,187.843,173.547,193.584,132.915,0.538495,0.354762,0.700645,0.233778,0.501075,0.476444,0.47828,0.237849,0.583556,-1.60566,-1.65596,6.03532,6.10417,9.57557,12.6923,14.4919,14.6495,12.1361,1.4222,3.36189,12.0181,13.6581,17.6685,19.7208,21.0582,22.3057,19.459
"1477",44,-0.302840734766287,27,5,0.426425,0.734969,1.63732,2.43703,2.93408,4.35567,4.19577,3.17633,1.99908,1.29051,3.34382,2.00254,1.06374,5.50614,2.68012,3.26512,2.74415,6.74095,84.8819,96.831,158.999,208.075,223.633,280.876,263.829,214.929,165.495,0.205566,0.487395,0.253637,0.298366,0.394371,0.207843,0.370968,0.474383,0.445752,-1.24547,2.27433,3.34093,5.08247,8.39876,14.0005,14.3314,13.7481,10.2868,7.35054,9.40212,12.8244,15.1326,16.6217,24.0782,24.0681,23.4005,18.1699
"4850",7,0.588454766081717,90,4,0.547107,1.1358,1.71879,2.27431,3.28062,3.59797,3.60793,2.85257,1.75285,4.20954,0.166773,3.68575,0.9579,1.57757,1.72461,1.68676,4.77686,4.83691,42.5283,103.707,122.426,167.602,210.872,226.729,226.688,183.604,124.177,0.676816,0.000333778,0.446488,0.428037,0.286102,0.362305,0.319867,0.382575,0.441745,3.42271,0.338188,5.313,6.8311,10.2925,12.4612,13.5842,13.8179,10.9933,7.79483,5.67599,11.0377,12.5932,16.1241,18.9918,20.2647,20.2836,17.2137
"3853",54,-0.322846708364126,71,1,0.363229,0.626584,1.68177,1.78504,2.88851,2.86423,3.43167,3.13082,2.14815,1.93139,0.62682,0.863143,4.48214,2.31759,3.25836,2.30226,0.983336,2.30899,45.3266,86.0385,139.238,148.422,200.29,187.634,215.007,196.818,153.026,0.453347,0.264368,0.342005,0.691398,0.501908,0.716487,0.557059,0.397503,0.391398,3.27372,-1.73743,3.80429,3.78138,8.99206,11.4136,12.49,13.6642,9.02902,7.74196,4.3399,13.4006,10.93,16.9686,18.2777,20.3393,22.938,18.6326
"1081",28,-0.935816666254512,20,2,0.73611,0.658816,1.2873,1.59883,3.67329,3.8397,4.29614,4.37474,2.66344,6.2231,6.11837,4.70456,4.35312,1.25416,2.03604,1.26295,0.112287,1.28653,61.3495,79.8037,129.479,148.115,271.899,270.04,285.015,282.201,204.372,0.658846,0.66342,0.603128,0.640404,0.108016,0.347475,0.244868,0.0962854,0.229798,3.45082,2.25479,5.81298,7.34875,12.8305,13.8291,17.4327,18.1307,15.3299,8.63938,7.26185,10.8879,12.0427,19.0407,19.3636,23.4973,25.4097,22.4053
